Blog	nature	cream	details	lovely	yours	flight	machine	unfortunately	buying	garden	hall	previous	six	continue	exciting	drink	human	hospital	smell	h	woke	built	bear	covered	wild	november	letter	w	count	herself	greatest	nd	fear	worst	natural	letting	ate	gotten	de	calls	west	speed	obviously	showing	meaning	co	throughout	regular	artist	creative	interest	mentioned	presents	thanksgiving	north	goodbye	vacation	figured	okay	island	changing	difficult	south	cross	afraid	plane	kill	begin	moon	title	staying	created	hat	chair	seconds	cards	legs	sea	teach	drove	ya	general	crying	currently	reality	honest	fat	appreciate	station	pack	among	posts	mood	began	opening	thinks	film	chris	quality	silly	french	push	particular	ourselves	changes	hasn	jump	bet	language	nervous	program	series	january	credit	sugar	members	scene	cost	beyond	smart	radio	dr	paid	paint	tea	war	soft	immediately	dry	managed	bowl	involved	lay	eventually	background	pants	dirty	dogs	king	santa	celebration	dropped	asleep	slowly	mad	lesson	actual	healthy	fingers	result	offer	consider	river	followed	wet	easily	action	bird	david	article	halloween	contact	board	events	included	wine	magic	system	excuse	match	scared	whenever	inspired	key	dressed	cheap	adventure	include	sight	taught	skin	gotta	search	bus	comfortable	album	strange	hearing	hole	literally	mail	bottle	collection	lines	player	uncle	shower	ring	lie	performance	joined	image	packed	effort	becoming	lazy	difference	anywhere	anniversary	james	mountain	hearts	closed	february	position	seat	trust	row	apartment	focus	hill	birth	ah	rose	jesus	walls	per	serve	planning	shall	race	ends	blame	rules	besides	mini	lord	sale	seven	scary	edge	doctor	festival	discovered	friendly	michael	restaurant	despite	challenge	blast	concert	sharing	carry	videos	latest	california	pre	san	lessons	screen	grab	mixed	helps	character	laughed	faces	term	kinda	community	kiss	according	bill	boring	planned	holidays	dying	familiar	journey	stupid	further	tells	laid	shape	perhaps	angel	ha	blogs	midnight	shoot	mess	breaking	health	jack	heads	honestly	wanting	teeth	force	grade	lake	practice	reminds	apple	eve	battle	higher	cd	field	design	member	doors	checked	cheese	wanna	saved	tickets	handle	slept	reminded	camp	nobody	musical	cousin	magazine	colors	doubt	airport	studio	feelings	square	brand	ear	harder	giant	younger	shouldn	bringing	golden	crowd	teacher	pulling	expensive	finger	sometime	direction	breath	smoke	birds	students	hardly	interview	subject	common	mirror	animals	typical	bags	remembered	progress	wood	product	allowed	ears	sisters	hide	setting	press	session	checking	hadn	expected	build	issues	thankful	degrees	positive	modern	served	plenty	states	hungry	aside	tough	skills	suddenly	arm	notes	grandma	fix	sang	mid	joke	hung	cash	kinds	successful	babies	picking	daddy	national	passing	ma	guest	painting	gas	goal	pray	release	east	rolling	social	continued	shut	terrible	mary	george	parking	blow	various	rich	decision	popular	loss	talent	hilarious	describe	respect	classic	delicious	falls	pizza	certainly	coast	tom	via	student	ending	cell	otherwise	success	bye	streets	university	begins	eggs	easter	yard	youth	heading	relationship	results	forth	nose	fashion	drinking	swear	ain	distance	obvious	lonely	projects	puts	block	effect	honey	everybody	review	former	likely	numbers	female	pics	talented	fully	towards	value	shots	gifts	officially	highly	freedom	neck	agree	barely	related	mike	signed	annual	master	excitement	runs	crew	ocean	fourth	chose	sex	spread	flash	burn	pure
the 21 gun salute!	5	1	0	2	2	4	14	11	19	2	6	5	1	10	2	11	11	0	1	7	0	7	1	10	6	0	3	2	2	2	31	10	4	23	2	1	3	4	7	3	13	5	20	5	1	4	4	1	11	4	2	3	2	3	0	3	3	13	2	5	4	5	4	6	4	5	9	12	5	9	1	8	7	3	11	2	2	5	0	1	6	3	4	3	3	6	6	9	3	8	8	8	2	2	12	1	31	9	7	2	12	8	5	2	1	4	5	5	2	1	1	19	1	7	2	7	18	3	11	2	27	17	7	0	4	9	5	11	6	1	2	4	3	5	13	6	8	1	6	0	2	4	1	4	10	2	12	1	7	3	2	5	4	0	0	6	8	3	18	7	7	2	3	1	3	4	11	7	3	0	2	11	13	8	8	4	0	6	0	5	2	9	7	1	1	165	5	17	6	103	0	1	12	6	19	1	0	4	1	13	2	9	1	0	5	3	4	9	1	20	4	2	3	1	4	0	21	6	12	2	6	1	7	5	17	2	5	2	0	6	2	5	2	18	3	2	11	4	0	4	4	2	2	4	2	16	1	11	4	0	5	0	1	23	0	4	12	2	0	10	0	11	3	7	1	4	1	2	1	13	3	5	5	0	0	2	3	6	15	7	5	6	2	9	2	16	3	4	4	3	2	0	8	5	6	3	1	6	8	0	1	4	9	0	1	4	85	6	7	6	0	3	7	13	4	1	1	0	3	2	15	14	3	10	6	6	4	16	4	5	3	2	0	28	1	4	3	4	5	1	2	3	1	0	1	2	7	2	0	0	12	8	9	3	2	1	1	1	1	2	4	6	7	4	3	3	13	3	5	0	1	9	3	1	3	9	15	3	3	2	0	22	1	1	8	2	5	0	0	4	3	17	4	7	3	3	2	3	3	1	0	1	7	0	0	0	1	14	6	13	9	0	18	49	2	9	3	6	8	5	0	6	3	5	8	2	6	13	3	9	8	3	4	12	77	4	2	3	9	2	6	6	1	6	2	1	0	12	1	5	2	5	3	3	11	2	17	0	17	4	1	7	0	5	3	3	13	4	4	0	9	3	9	10	3	4	6	0	2	6	5	2	10	5	11	15	5	0	6	0	4	9	7	0	2	17	1	5	11	12
smile like you mean it	0	5	0	0	1	0	1	0	4	0	0	1	0	1	8	2	0	2	4	0	1	1	0	2	4	4	3	0	2	0	3	1	1	0	1	4	7	0	0	4	0	0	0	1	2	1	2	3	0	1	0	1	2	2	3	0	1	2	0	0	1	2	1	0	1	0	1	1	0	0	2	0	2	1	2	3	1	0	1	4	12	1	3	0	0	0	0	0	2	1	0	0	0	0	2	1	0	1	1	8	0	2	0	2	0	0	0	0	0	1	2	0	0	0	2	2	1	0	0	5	3	1	2	5	0	0	1	2	1	0	2	1	1	0	1	8	9	2	0	1	0	4	2	0	7	6	1	3	0	0	0	0	0	1	0	0	0	1	0	0	5	0	0	0	2	0	0	1	1	1	8	3	1	2	5	2	0	3	0	4	0	10	0	0	1	0	0	0	4	0	0	0	1	0	0	3	1	1	3	0	0	1	2	0	2	0	1	2	0	0	4	0	1	1	3	1	0	1	0	2	0	2	0	1	7	1	0	0	0	0	8	0	0	2	3	2	2	1	0	3	1	7	0	1	0	0	1	0	0	8	3	7	5	0	0	1	2	0	3	0	0	0	2	2	3	7	0	8	2	1	1	0	0	1	1	0	2	0	2	0	3	3	1	0	0	25	4	2	1	2	0	1	2	2	1	2	2	0	5	5	2	0	3	0	3	0	0	3	1	0	1	5	2	3	0	1	1	1	1	1	0	1	3	0	1	2	0	0	1	0	0	0	0	0	0	0	2	0	0	7	2	2	2	2	0	2	3	0	0	5	0	2	0	4	2	0	4	0	0	1	0	1	1	0	0	1	0	0	1	2	1	1	1	4	2	1	0	1	3	0	0	0	3	0	0	3	1	7	0	2	0	1	1	1	3	0	3	2	0	0	0	0	0	0	2	1	2	1	1	0	0	0	4	0	0	0	1	2	0	0	0	0	0	3	6	0	1	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	1	4	10	1	0	0	2	2	0	4	1	0	4	0	0	1	0	3	1	0	0	0	9	0	0	0	0	3	21	0	0	0	0	2	3	0	0	0	0	0	1	1	0	1	1	2	0	1	1	0	0	1	0	0	0	0	1
The Lisp	6	6	5	13	5	0	1	4	0	2	3	4	6	7	0	1	15	2	0	3	0	3	25	3	2	4	4	9	3	5	6	0	4	3	6	1	0	4	2	1	2	0	5	4	0	2	2	6	7	4	2	5	2	0	5	4	3	2	9	3	1	3	2	2	4	2	6	3	0	4	0	12	3	0	0	1	5	0	4	1	7	6	2	8	7	4	4	4	1	1	7	17	16	3	3	2	5	15	2	4	6	4	8	0	0	4	1	0	1	1	1	18	14	0	4	2	3	1	4	4	9	3	2	2	3	6	1	7	2	5	2	9	2	3	3	4	6	3	9	1	6	1	0	2	1	1	7	4	0	4	3	14	0	1	5	0	10	3	34	0	1	1	2	0	7	1	3	3	3	0	0	1	9	2	2	0	3	1	2	1	3	14	1	0	6	5	1	1	0	3	1	0	9	7	2	0	3	0	2	10	1	26	0	2	2	0	3	5	3	3	0	4	1	15	2	0	2	2	3	4	18	3	2	3	2	4	0	3	6	1	7	1	2	2	3	3	2	57	10	1	1	3	6	6	4	5	3	2	4	0	2	7	0	3	14	7	3	3	2	1	2	1	2	3	4	1	1	6	19	1	7	11	2	1	1	1	6	4	2	4	2	3	0	3	2	0	7	7	20	2	5	3	5	2	2	1	2	1	3	1	1	3	0	4	0	0	14	0	0	3	2	0	6	11	2	7	0	1	5	2	5	4	1	8	1	3	0	6	2	2	10	0	1	6	1	3	1	10	8	1	1	1	4	1	2	0	3	0	28	5	15	4	3	2	2	2	0	0	3	0	2	1	1	10	2	3	3	1	2	0	1	2	5	1	0	7	1	3	0	2	2	2	4	0	2	3	0	2	1	3	2	3	2	0	1	3	0	0	0	3	0	3	3	0	0	3	2	10	1	3	7	1	5	2	9	32	1	14	9	2	8	8	4	2	10	5	5	11	11	0	1	3	0	6	2	3	1	1	2	3	0	2	3	1	1	2	1	4	2	7	2	6	1	14	1	2	3	2	5	1	1	2	2	5	2	6	10	9	9	2	8	7	3	10	0	3	21	2	5	5	5	1	1	4	1	5	3	2	1	0	3	5	3	2	5	21	4	1	2	2
feels mondo	2	0	0	0	2	0	1	0	0	1	2	0	0	0	0	1	1	1	2	20	0	0	0	1	0	1	0	1	1	0	0	0	0	0	5	0	21	0	825	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	5	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	4	1	0	0	0	1	0	0	0	0	0	0	0	5	0	0	1	1	0	1	0	0	0	0	0	0	0	2	2	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	6	1	0	0	1	3	0	0	0	0	1	2	0	3	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	8	2	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0	0	0	3	2	2	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	2	10	0	0	0	0	0	0	0	0	0	2	8	0	1	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	8	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0
Heart on my sleeve	0	0	1	3	0	0	2	1	1	0	0	5	3	1	0	0	7	0	1	0	0	1	0	1	2	0	0	3	0	2	4	0	1	7	0	0	0	0	4	1	0	0	3	1	0	1	1	2	11	2	0	3	0	0	0	1	0	0	1	6	1	2	5	1	4	0	0	1	6	22	0	1	0	0	1	0	0	2	0	1	0	3	0	0	0	5	0	0	4	0	2	1	3	0	3	0	1	5	1	1	15	0	0	0	1	3	0	4	2	0	0	2	1	0	0	5	4	3	0	1	2	0	0	0	3	0	1	1	2	2	0	0	0	1	3	0	1	0	0	0	0	0	0	2	1	0	0	0	0	8	0	3	3	1	0	0	0	5	5	1	0	0	0	4	0	4	0	1	0	0	0	0	5	0	0	1	2	1	0	0	1	0	1	0	0	233	7	1	0	1	0	0	16	0	3	0	0	1	0	1	1	5	0	4	3	0	0	3	0	9	0	2	0	0	0	0	0	2	0	4	4	0	0	3	0	0	0	0	0	0	0	0	1	4	0	0	0	0	2	0	0	0	1	1	2	3	0	2	0	0	2	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	1	3	0	0	0	2	0	1	0	1	0	0	0	6	0	0	0	1	2	0	0	0	0	0	0	0	4	36	0	15	0	1	0	0	0	1	0	1	0	0	0	16	7	1	2	0	6	0	2	2	1	0	1	0	1	1	3	0	0	2	0	0	0	2	1	4	1	0	2	1	2	0	7	1	0	3	6	0	1	2	0	1	0	2	1	0	2	0	0	0	0	3	0	1	0	2	4	6	0	0	6	0	2	2	0	0	0	1	0	0	1	1	1	0	2	2	1	0	2	0	1	0	0	2	1	0	0	0	13	6	2	0	0	0	2	0	7	0	3	2	1	0	10	0	13	6	1	3	6	2	0	0	5	0	1	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	2	0	3	0	2	0	0	4	0	5	1	0	2	0	3	0	4	0	0	0	1	0	0	7	0	0	3	1	1	0	0	0	0	0	0	3	0	3	1	3	0	3	0	1
ESO Blog	0	1	0	0	1	0	0	0	1	0	6	0	2	0	3	1	0	0	0	3	1	0	0	0	0	0	0	0	2	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	2	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	4	0	2	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	3	1	2	8	0	4	0	1	0	0	0	1	0	6	1	0	0	1	1	2	1	1	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	1	1	0	3	0	0	2	1	0	1	1	0	0	4	1	0	0	2	0	0	0	0	0	0	2	0	4	0	0	0	1	0	0	0	1	0	0	0	1	0	3	0	0	2	1	0	5	0	0	0	0	2	1	0	0	4	0	0	1	0	3	0	0	0	0	2	0	1	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	4	0	0	0	0	2	2	0	11	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	13	0	0	10	1	0	2	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	2	0	0	10	0	1	1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	1	0	0	0	0	0	1	2	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	2	0	4	1	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	1	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	1	0	0	2	2	0	0	0	0	2	2	0	0	0	1	0
Cannibal Roses	0	0	0	1	4	0	0	0	0	1	0	0	0	1	1	0	2	0	0	0	0	2	2	1	1	0	1	0	1	1	1	0	8	1	0	0	0	1	189	0	0	0	1	1	2	2	0	0	0	0	1	0	2	0	1	1	1	0	3	0	0	0	0	0	2	0	5	1	5	0	0	1	1	0	0	0	1	10	0	0	20	0	2	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	2	3	1	0	2	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	3	0	2	0	0	0	10	0	0	1	0	0	0	1	0	0	0	5	1	0	1	0	5	0	1	1	0	0	3	0	1	0	0	1	1	0	0	0	0	0	1	0	1	0	6	5	0	1	1	1	2	0	3	0	7	0	7	0	2	0	0	1	0	2	1	0	0	1	0	1	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	4	3	0	3	0	0	1	28	0	4	0	2	4	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	8	1	0	0	0	2	0	0	3	1	1	0	0	0	3	1	0	30	0	0	0	0	0	3	1	1	6	1	1	0	0	0	3	12	0	0	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	1	0	0	0	0	0	1	0	6	0	0	1	2	0	0	1	0	1	1	0	1	0	0	0	0	4	0	2	0	0	0	1	1	1	0	0	0	4	0	0	0	0	4	0	6	1	2	0	0	0	2	1	0	0	0	0	0	0	0	0	1	2	0	0	2	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	2	5	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	2	1	1	0	0	0	0	1	0	2	0	0	0	1	2	3	0	1	1
SkybellArts @ Blogger	5	4	1	35	1	6	19	8	3	6	1	6	28	20	2	6	13	4	2	3	2	0	11	1	6	20	0	1	1	0	3	5	19	2	4	14	1	4	45	4	3	1	3	3	9	2	34	12	23	76	4	1	1	9	3	1	11	17	28	2	7	8	1	3	5	0	1	24	9	8	6	13	0	4	6	1	4	1	4	3	2	7	4	2	21	3	2	16	1	3	5	1	23	4	8	4	14	1	10	1	8	4	8	9	11	3	3	1	7	1	2	13	10	1	2	1	2	4	4	1	2	5	3	1	7	8	4	3	1	16	4	4	3	3	16	1	1	2	3	1	6	3	2	5	4	4	2	3	7	4	1	16	2	2	3	5	10	5	3	8	10	3	13	8	4	16	1	2	6	20	1	0	24	15	2	1	5	4	2	1	1	4	4	1	13	2	3	5	2	0	5	3	2	7	2	1	4	2	4	3	5	10	0	7	6	7	6	3	3	2	0	8	3	19	5	4	8	2	1	46	4	7	13	2	0	2	16	3	29	6	6	13	5	5	5	6	2	1	7	3	3	2	7	15	2	2	4	2	98	0	0	6	6	3	1	4	3	3	5	3	2	2	11	2	1	7	3	5	3	2	1	2	3	19	7	3	2	25	0	26	1	7	7	12	0	8	8	1	3	9	3	4	1	2	3	5	2	5	0	0	277	7	1	6	6	0	1	2	17	2	5	8	4	1	0	0	4	1	10	2	0	7	2	10	19	9	2	161	53	12	0	1	1	1	2	3	2	2	2	2	5	1	6	7	9	10	0	5	0	1	3	2	5	8	0	3	6	6	19	0	1	1	0	4	4	8	5	2	4	3	6	8	11	9	5	19	2	5	9	4	2	0	4	10	5	1	6	0	8	2	9	0	3	1	5	5	0	1	0	2	2	8	3	3	2	19	1	0	1	2	7	4	1	0	1	3	1	1	7	4	6	1	8	0	1	4	6	3	4	2	7	30	6	1	0	1	4	6	4	5	0	0	1	9	2	1	4	1	8	46	4	2	0	0	4	2	1	2	3	0	7	3	10	3	0	1	9	0	8	1	0	0	3	9	1	3	0	10	3	1	7	3	7	4	4	0	2	3	7	4	2	0	1	4	2	0	4	2	3	5
Mamie Van Doren In Xanadu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	46	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	5	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	5	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0
SHONA VIXEN	3	0	2	0	3	1	1	3	2	1	0	2	0	5	1	9	5	1	2	3	1	4	0	0	1	0	22	2	4	4	9	1	5	0	4	2	0	3	2	3	4	1	2	2	2	2	0	1	1	3	2	6	4	1	1	1	1	0	1	5	0	9	14	1	4	0	4	0	0	3	0	4	0	1	1	2	3	1	1	0	5	0	7	0	6	4	1	10	0	0	1	3	0	0	1	6	1	4	1	5	6	1	0	10	0	0	0	1	6	1	0	2	3	3	5	1	2	1	5	2	3	1	2	5	5	3	2	0	4	6	0	2	4	1	1	1	1	1	4	4	2	0	1	0	6	4	0	2	4	0	1	0	1	0	0	6	6	0	0	0	0	0	0	0	2	3	3	2	2	1	4	3	1	2	1	0	1	2	0	2	2	3	2	1	5	2	1	2	0	5	1	6	0	1	1	2	1	2	7	0	3	1	0	1	1	0	2	2	1	1	0	4	2	3	3	3	27	1	0	1	2	4	4	1	0	2	0	0	0	35	0	3	9	5	4	0	6	1	2	0	0	0	0	0	1	4	0	1	5	1	0	7	2	3	1	0	2	0	4	0	1	0	1	1	5	0	5	9	1	8	0	1	2	2	4	3	0	1	0	1	2	3	0	0	7	0	1	0	0	1	4	1	0	2	4	11	6	2	0	0	0	2	2	1	2	1	0	1	0	1	0	2	0	2	0	0	6	0	1	0	1	1	4	1	0	4	0	1	3	4	0	1	1	2	0	2	2	1	0	5	0	4	2	1	1	3	3	0	0	2	2	3	1	0	2	0	1	3	1	0	1	2	1	4	1	2	1	0	1	3	1	0	7	0	1	1	1	0	1	1	1	1	5	4	2	1	0	3	5	2	3	4	3	3	1	0	2	2	14	1	1	5	1	1	0	0	10	0	3	2	2	0	2	0	1	2	0	0	1	0	1	2	1	1	2	2	13	1	2	4	0	0	1	0	1	1	0	0	3	5	1	3	1	1	0	0	0	0	0	24	0	2	0	2	0	0	5	0	1	2	1	2	3	3	1	1	0	4	0	3	6	0	3	4	3	3	0	0	5	0	1	0	1	0	1	0	3	0	0	3	1	0	0	1	4	37	1	0	2	0
bhairo in the morning	12	1	1	8	12	2	2	0	0	8	1	0	3	2	1	4	15	0	1	2	0	2	3	1	8	5	8	5	4	0	3	3	2	0	7	0	0	1	5	1	4	1	2	4	23	0	1	1	6	1	2	5	1	0	7	1	1	1	4	0	2	9	10	4	0	1	0	3	27	5	0	3	9	1	0	3	0	27	5	0	1	3	4	0	5	1	1	0	5	0	8	1	3	5	0	0	7	2	3	0	0	4	5	0	2	1	2	0	33	0	7	0	8	4	0	0	6	1	17	6	9	1	2	4	11	18	15	2	4	1	4	1	3	0	1	0	0	2	8	2	1	1	0	6	3	5	1	0	2	0	4	2	20	3	1	5	3	13	8	13	0	0	4	0	2	7	2	1	1	3	0	1	8	6	1	2	1	1	7	5	0	1	13	7	0	0	11	2	1	2	2	0	2	29	5	1	2	7	8	2	3	10	4	2	1	0	1	5	0	3	26	9	6	2	1	1	1	1	0	1	4	5	2	22	3	2	9	2	0	6	3	11	1	4	2	3	13	0	6	0	2	4	0	6	0	1	1	2	1	0	2	1	1	0	4	7	3	2	5	5	0	1	0	2	1	4	5	0	1	6	2	0	0	1	0	4	2	13	0	6	4	1	5	22	0	0	1	4	1	0	4	0	4	4	0	2	1	2	0	9	19	1	3	7	2	2	0	4	8	0	2	0	1	0	0	0	4	0	0	3	5	5	0	2	3	2	3	3	7	5	0	11	1	0	0	0	4	6	0	6	5	0	1	2	0	11	6	17	5	1	2	1	1	14	0	1	0	2	4	3	1	2	9	0	16	0	0	1	0	3	2	5	0	0	1	0	3	4	1	3	2	0	1	1	3	0	26	0	0	1	5	3	0	0	0	0	1	0	0	0	13	4	5	8	2	4	9	3	6	0	7	0	2	1	0	2	6	0	8	1	1	1	6	4	0	6	1	2	1	6	5	1	1	0	14	9	4	4	3	1	3	1	1	16	0	0	0	6	4	0	0	3	2	4	3	0	3	17	3	3	0	1	2	1	4	0	5	2	5	1	0	0	0	1	0	3	0	3	0	1	8	1	0	13	2	0	2	1	7	0	4	0	39	1	1	0	8	2	3	17
Its Good To Be Green	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	2	3	0	0	0	3	0	0	1	1	0	2	3	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	2	2	2	0	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	6	2	0	2	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	1	0	1	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	2	0	0	0	0	0	1	1	1	1	2	0	1	0	0	0	0	0	0	1	1	0	1	0	0	5	0	0	1	0	0	0	0	0	0	2	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	1	0	0	1	4	20	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	2	2	0	5	0	0	0	0	1	0	0	5	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	7	0	0	3	2	0	0	1	0	0	1	1	1	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	1	1	2	0	0	0	8	0	1	0	0	2	0	0	0	4	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	1	0	0	3	0	1	0	1	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	5	0	0	0	1	0	2	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0
